name,description
channel_preference.business_partner_id,"Business partner identifier"
channel_preference.channel_preference_desc,"Customer's preferred transaction channel in the past 12 months. For customers that have not made any tranaction in last 12, the preference is estimated on the purchases made in the last 24 months. The channel preference is given a number  1 = Multichannel with online propensity - proportion of online transactions \u003e 70% 2 = Multichannel with store propensity - proportion of online transactions  \u003c 30% 3 = Multichannel with equal propensity - -proportion of online transactions between 30% and 70% 4 = Pure Store - All transactions are in store\t 5 = Pure Online- All transactions are in store"
channel_preference.channel_preference_no,"Customer's preferred transaction channel in the past 12 months. For customers that have not made any tranaction in last 12, the preference is estimated on the purchases made in the last 24 months. The channel preference is given a number  1 = Multichannel with online propensity - proportion of online transactions \u003e 70% 2 = Multichannel with store propensity - proportion of online transactions  \u003c 30% 3 = Multichannel with equal propensity - -proportion of online transactions between 30% and 70% 4 = Pure Store - All transactions are in store\t 5 = Pure Online- All transactions are in store"
channel_preference.corporate_brand_rk,"Corporate brand identifier. 0= H&M"
channel_preference.country_rk,"Country identifier (2-letter country code)"
channel_preference.customer_brand_id,"Customer brand identifier"
channel_preference.pref_channel_preference_desc,"Customer's Channel preference at a higher level. \t Store: If the proportion of online orders are  0 or less than 50% Online: If the proportion of store orders are 0 or less than 50%"
channel_preference.pref_channel_preference_no,"Customer's Channel preference at a higher level. \t Store: If the proportion of online orders are  0 or less than 50% Online: If the proportion of store orders are 0 or less than 50%"
customer_sales_order_tmp.age,"Age of the customer"
customer_sales_order_tmp.article_rk,"Article identifier"
customer_sales_order_tmp.business_partner_id,"Business partner identifier"
customer_sales_order_tmp.club_card_no,"Club card number"
customer_sales_order_tmp.concept,"Concept to which the article belongs"
customer_sales_order_tmp.corporate_brand_rk,"Corporate brand identifier"
customer_sales_order_tmp.country_rk,"Country identifier (2-letter country code)"
customer_sales_order_tmp.currency_rk,"Purchase currency identifier"
customer_sales_order_tmp.customer_brand_id,"Unique customer identifier"
customer_sales_order_tmp.customer_rk,"Customer identifier"
customer_sales_order_tmp.deletion_no_of_pcs,"Number of pieces deleted from the shopping cart"
customer_sales_order_tmp.demand_no_of_pcs,"Number of pieces added to the shopping cart"
customer_sales_order_tmp.department_name,"Name of the department to which the article belongs"
customer_sales_order_tmp.derived_gender,"Gender of the customer derived in case it is not supplied"
customer_sales_order_tmp.division_code,"Code of the division to which the article belongs"
customer_sales_order_tmp.division_name,"Name of the divison to which the article belongs"
customer_sales_order_tmp.first_loyalty_purchase_date_onl_date,"Date of first purchase made online by loyalty subscription customer"
customer_sales_order_tmp.first_loyalty_purchase_date_onl_month,"Month of first purchase made online by loyalty subscription customer"
customer_sales_order_tmp.first_loyalty_purchase_date_onl_quarter,"Quarter of first purchase made online by loyalty subscription customer"
customer_sales_order_tmp.first_loyalty_purchase_date_onl_week,"Week of first purchase made online by loyalty subscription customer"
customer_sales_order_tmp.first_loyalty_purchase_date_onl_year,"Year of first purchase made online by loyalty subscription customer"
customer_sales_order_tmp.first_loyalty_purchase_date_sto_date,"Date of first purchase made in store by loyalty subscription customer"
customer_sales_order_tmp.first_loyalty_purchase_date_sto_month,"Month of first purchase made in store by loyalty subscription customer"
customer_sales_order_tmp.first_loyalty_purchase_date_sto_quarter,"Quarter of first purchase made in store by loyalty subscription customer"
customer_sales_order_tmp.first_loyalty_purchase_date_sto_week,"Week of first purchase made in store by loyalty subscription customer"
customer_sales_order_tmp.first_loyalty_purchase_date_sto_year,"Year of first purchase made in store by loyalty subscription customer"
customer_sales_order_tmp.first_purchase_date,"First purchase date by non-loyalty customer"
customer_sales_order_tmp.first_purchase_date_onl_date,"Date of first purchase made online by non-loyalty customer"
customer_sales_order_tmp.first_purchase_date_onl_month,"Month of first purchase made online by non-loyalty customer"
customer_sales_order_tmp.first_purchase_date_onl_quarter,"Quarter of first purchase made online by non-loyalty customer"
customer_sales_order_tmp.first_purchase_date_onl_week,"Week of first purchase made online by non-loyalty customer"
customer_sales_order_tmp.first_purchase_date_onl_year,"Year of first purchase made online by non-loyalty customer"
